,Timestamp,Device Type,Pulse,Temp,Proximity,Ambient Noise,Movement Pattern,Stress Indicator,User Behavior,ZPulse,ZTemp,ZAmbNoise
17,11-11-2023 09:04,Earring,91,99.1,High,71,Irregular,Yes,Calm,-0.10170021651439329,0.8895647693501503,0.24323446375395566
18,11-11-2023 20:36,Ring,102,98.9,High,44,Irregular,Yes,Active,0.39264462734699584,0.5017013425569901,-1.065520124001485
19,26-11-2023 13:51,Shoe,83,98.8,Medium,31,Normal,No,Stressed,-0.4612237393226763,0.3077696291603825,-1.6956612218096603
20,25-11-2023 11:20,Ring,97,98.3,High,73,Irregular,No,Calm,0.16794242559181896,-0.6618889378225731,0.34017924803213645
21,26-11-2023 09:49,Shoe,110,99.2,Low,87,Irregular,Yes,Active,0.7521681501552788,1.083496482746758,1.018792737979402
22,03-11-2023 02:04,Earring,93,98.5,Low,74,Normal,No,Active,-0.01181933581232254,-0.2740255110293853,0.3886516401712269
23,23-11-2023 14:31,Shoe,62,98.2,Low,96,Normal,No,Active,-1.4049729866944192,-0.8558206512191532,1.4550442672312156
24,07-11-2023 09:37,Earring,98,98.3,Low,81,Normal,No,Calm,0.21288286594285435,-0.6618889378225731,0.7279583851448597
25,10-11-2023 02:09,Ring,120,98.4,Medium,91,Irregular,Yes,Calm,1.2015725536656325,-0.46795722442596543,1.2126823065357637
26,18-11-2023 00:15,Shoe,89,98.2,Low,51,Normal,No,Active,-0.19158109721646405,-0.8558206512191532,-0.7262133790278523
27,06-11-2023 14:25,Earring,77,98.7,Medium,48,Irregular,No,Sedentary,-0.7308663814288886,0.11383791576380238,-0.8716305554451236
28,09-11-2023 23:39,Earring,67,99.1,Medium,43,Normal,Yes,Calm,-1.1802707849392424,0.8895647693501503,-1.1139925161405755
29,19-11-2023 17:43,Shoe,60,98.8,Medium,71,Irregular,No,Active,-1.49485386739649,0.3077696291603825,0.24323446375395566
30,16-11-2023 11:48,Ring,117,98.9,High,48,Normal,Yes,Sedentary,1.0667512326125266,0.5017013425569901,-0.8716305554451236
31,07-11-2023 01:29,Shoe,124,97.7,High,68,Irregular,Yes,Sedentary,1.381334315069774,-1.8254792182021087,0.09781728733668446
32,26-11-2023 06:05,Shoe,115,97.9,Medium,42,Irregular,Yes,Stressed,0.9768703519104558,-1.437615791408921,-1.1624649082796659
33,05-11-2023 05:50,Ring,109,98.2,Low,84,Irregular,Yes,Active,0.7072277098042434,-0.8558206512191532,0.8733755615621308
34,27-11-2023 01:29,Earring,86,98.7,Medium,98,Normal,No,Calm,-0.32640241826957017,0.11383791576380238,1.5519890515093964
35,22-11-2023 11:59,Ring,86,99.3,High,85,Irregular,Yes,Active,-0.32640241826957017,1.277428196143338,0.9218479537012213
36,13-11-2023 06:01,Ring,76,98.2,Low,62,Irregular,No,Sedentary,-0.7758068217799239,-0.8558206512191532,-0.19301706549785794
37,01-11-2023 23:35,Ring,112,97.8,Low,83,Normal,Yes,Sedentary,0.8420490308573496,-1.6315475048055286,0.8249031694230404
38,27-11-2023 01:38,Ring,82,98.9,High,58,Irregular,No,Calm,-0.5061641796737116,0.5017013425569901,-0.38690663405421954
39,29-11-2023 21:00,Earring,113,98.6,Low,51,Irregular,Yes,Stressed,0.886989471208385,-0.08009379763280527,-0.7262133790278523
40,02-11-2023 18:40,Earring,91,98.5,Low,36,Irregular,No,Stressed,-0.10170021651439329,-0.2740255110293853,-1.4532992611142084
41,22-11-2023 12:14,Earring,109,98.8,High,89,Normal,Yes,Active,0.7072277098042434,0.3077696291603825,1.115737522257583
42,26-11-2023 04:49,Ring,111,98.8,Medium,74,Normal,Yes,Stressed,0.7971085905063142,0.3077696291603825,0.3886516401712269
43,08-11-2023 21:42,Shoe,158,98.1,Medium,58,Irregular,Yes,Calm,2.909309287004977,-1.0497523646157607,-0.38690663405421954
44,10-11-2023 14:17,Shoe,105,99.3,Medium,69,Normal,Yes,Calm,0.527465948400102,1.277428196143338,0.14628967947577487
45,19-11-2023 04:43,Shoe,74,98.2,High,98,Normal,No,Stressed,-0.8656877024819947,-0.8558206512191532,1.5519890515093964
46,18-11-2023 11:58,Earring,77,98.7,High,100,Irregular,No,Sedentary,-0.7308663814288886,0.11383791576380238,1.6489338357875774
47,17-11-2023 19:48,Shoe,137,98.8,Medium,41,Irregular,Yes,Stressed,1.965560039633234,0.3077696291603825,-1.2109373004187562
48,01-11-2023 07:38,Ring,110,98.0,Medium,58,Normal,Yes,Stressed,0.7521681501552788,-1.2436840780123408,-0.38690663405421954
49,29-11-2023 15:17,Earring,61,98.5,Low,92,Normal,No,Active,-1.4499134270454546,-0.2740255110293853,1.261154698674854
50,05-11-2023 23:14,Ring,116,98.2,Medium,100,Irregular,Yes,Calm,1.0218107922614912,-0.8558206512191532,1.6489338357875774
51,25-11-2023 15:18,Earring,119,98.0,Medium,34,Irregular,Yes,Stressed,1.1566321133145971,-1.2436840780123408,-1.5502440453923891
52,04-11-2023 19:11,Shoe,99,98.0,Low,87,Normal,No,Active,0.2578233062938897,-1.2436840780123408,1.018792737979402
53,14-11-2023 20:27,Earring,120,99.6,Medium,60,Irregular,Yes,Active,1.2015725536656325,1.8592233363331059,-0.2899618497760387
54,02-11-2023 14:55,Ring,109,98.9,High,35,Irregular,Yes,Active,0.7072277098042434,0.5017013425569901,-1.5017716532532988
55,05-11-2023 23:16,Shoe,109,98.3,High,94,Normal,Yes,Calm,0.7072277098042434,-0.6618889378225731,1.3580994829530348
56,20-11-2023 15:54,Earring,66,98.4,Medium,95,Irregular,No,Active,-1.2252112252902776,-0.46795722442596543,1.4065718750921252
57,26-11-2023 12:41,Shoe,61,98.0,Low,100,Normal,No,Sedentary,-1.4499134270454546,-1.2436840780123408,1.6489338357875774
58,16-11-2023 17:35,Shoe,87,99.0,Low,88,Irregular,No,Calm,-0.2814619779185348,0.6956330559535702,1.0672651301184926
59,03-11-2023 06:23,Ring,102,98.1,Low,98,Normal,Yes,Active,0.39264462734699584,-1.0497523646157607,1.5519890515093964
60,24-11-2023 06:08,Earring,63,98.4,Medium,58,Normal,No,Active,-1.3600325463433838,-0.46795722442596543,-0.38690663405421954
61,12-11-2023 00:12,Earring,79,98.4,High,39,Irregular,No,Active,-0.6409855007268178,-0.46795722442596543,-1.3078820846969372
62,29-11-2023 21:16,Ring,79,98.8,Low,47,Normal,No,Sedentary,-0.6409855007268178,0.3077696291603825,-0.920102947584214
63,12-11-2023 07:09,Ring,69,99.0,High,85,Normal,No,Stressed,-1.0903899042371716,0.6956330559535702,0.9218479537012213
64,16-11-2023 08:34,Ring,99,98.7,Medium,89,Irregular,No,Active,0.2578233062938897,0.11383791576380238,1.115737522257583
65,20-11-2023 13:36,Ring,69,98.5,Medium,83,Normal,No,Sedentary,-1.0903899042371716,-0.2740255110293853,0.8249031694230404
66,24-11-2023 23:45,Earring,158,98.5,Medium,65,Normal,Yes,Calm,2.909309287004977,-0.2740255110293853,-0.04759988908058674
67,08-11-2023 09:51,Ring,82,98.2,Low,55,Irregular,No,Active,-0.5061641796737116,-0.8558206512191532,-0.5323238104714907
68,28-11-2023 11:51,Shoe,104,98.7,Medium,61,Normal,Yes,Active,0.4825255080490666,0.11383791576380238,-0.24148945763694835
69,27-11-2023 17:42,Ring,66,97.9,Medium,57,Irregular,No,Sedentary,-1.2252112252902776,-1.437615791408921,-0.4353790261933099
70,15-11-2023 20:25,Shoe,90,98.7,Low,39,Normal,No,Stressed,-0.14664065686542868,0.11383791576380238,-1.3078820846969372
71,19-11-2023 18:20,Shoe,117,99.2,Low,60,Irregular,Yes,Sedentary,1.0667512326125266,1.083496482746758,-0.2899618497760387
72,03-11-2023 19:39,Ring,88,99.3,High,94,Normal,Yes,Stressed,-0.2365215375674994,1.277428196143338,1.3580994829530348
73,12-11-2023 23:01,Ring,64,98.3,Low,40,Normal,No,Stressed,-1.3150921059923484,-0.6618889378225731,-1.2594096925578468
74,06-11-2023 15:38,Shoe,104,98.5,Low,100,Irregular,Yes,Active,0.4825255080490666,-0.2740255110293853,1.6489338357875774
75,27-11-2023 22:53,Earring,148,99.2,High,31,Normal,Yes,Calm,2.459904883494623,1.083496482746758,-1.6956612218096603
76,25-11-2023 02:38,Shoe,70,98.8,High,43,Irregular,No,Sedentary,-1.0454494638861362,0.3077696291603825,-1.1139925161405755
77,08-11-2023 17:28,Earring,118,98.5,Medium,47,Irregular,Yes,Active,1.111691672963562,-0.2740255110293853,-0.920102947584214
78,09-11-2023 13:43,Earring,113,97.9,Low,75,Irregular,Yes,Sedentary,0.886989471208385,-1.437615791408921,0.43712403231031727
79,22-11-2023 14:23,Ring,87,98.7,Medium,67,Irregular,No,Calm,-0.2814619779185348,0.11383791576380238,0.04934489519759406
80,20-11-2023 21:28,Shoe,90,98.7,Low,87,Irregular,No,Active,-0.14664065686542868,0.11383791576380238,1.018792737979402
81,09-11-2023 15:37,Earring,117,97.8,High,61,Normal,Yes,Active,1.0667512326125266,-1.6315475048055286,-0.24148945763694835
82,02-11-2023 10:46,Shoe,98,99.0,Medium,57,Irregular,No,Active,0.21288286594285435,0.6956330559535702,-0.4353790261933099
83,29-11-2023 20:29,Shoe,106,97.9,Low,46,Normal,Yes,Sedentary,0.5724063887511374,-1.437615791408921,-0.9685753397233043
84,23-11-2023 00:38,Earring,76,98.8,Medium,79,Irregular,No,Calm,-0.7758068217799239,0.3077696291603825,0.6310136008666789
85,04-11-2023 12:52,Ring,99,99.2,Low,62,Normal,Yes,Active,0.2578233062938897,1.083496482746758,-0.19301706549785794
86,12-11-2023 12:10,Shoe,108,99.2,Medium,49,Irregular,Yes,Sedentary,0.6622872694532081,1.083496482746758,-0.8231581633060331
87,05-11-2023 18:00,Earring,108,98.5,Low,80,Normal,Yes,Active,0.6622872694532081,-0.2740255110293853,0.6794859930057693
88,03-11-2023 14:48,Earring,120,99.3,Medium,40,Normal,Yes,Stressed,1.2015725536656325,1.277428196143338,-1.2594096925578468
89,24-11-2023 01:39,Earring,76,98.5,Low,46,Irregular,No,Stressed,-0.7758068217799239,-0.2740255110293853,-0.9685753397233043
90,05-11-2023 20:54,Shoe,94,97.7,High,55,Irregular,No,Sedentary,0.03312110453871284,-1.8254792182021087,-0.5323238104714907
91,24-11-2023 06:45,Shoe,94,99.0,High,41,Irregular,No,Sedentary,0.03312110453871284,0.6956330559535702,-1.2109373004187562
92,25-11-2023 11:12,Earring,100,98.8,High,88,Irregular,No,Sedentary,0.3027637466449251,0.3077696291603825,1.0672651301184926
93,29-11-2023 15:13,Ring,85,99.1,Medium,52,Normal,Yes,Calm,-0.37134285862060556,0.8895647693501503,-0.6777409868887619
94,27-11-2023 16:18,Ring,98,98.4,Low,98,Irregular,No,Active,0.21288286594285435,-0.46795722442596543,1.5519890515093964
95,23-11-2023 01:37,Shoe,116,98.3,High,31,Normal,Yes,Calm,1.0218107922614912,-0.6618889378225731,-1.6956612218096603
96,28-11-2023 05:58,Ring,102,97.8,Low,60,Normal,Yes,Stressed,0.39264462734699584,-1.6315475048055286,-0.2899618497760387
97,28-11-2023 22:01,Earring,113,99.3,Medium,48,Irregular,Yes,Active,0.886989471208385,1.277428196143338,-0.8716305554451236
98,05-11-2023 03:20,Shoe,105,98.9,Medium,90,Normal,Yes,Calm,0.527465948400102,0.5017013425569901,1.1642099143966733
99,23-11-2023 11:50,Shoe,69,98.3,Medium,71,Irregular,No,Calm,-1.0903899042371716,-0.6618889378225731,0.24323446375395566
100,10-11-2023 08:01,Earring,63,99.1,Medium,34,Normal,Yes,Calm,-1.3600325463433838,0.8895647693501503,-1.5502440453923891
101,13-11-2023 03:04,Shoe,106,99.3,Medium,48,Irregular,Yes,Stressed,0.5724063887511374,1.277428196143338,-0.8716305554451236
102,25-11-2023 11:52,Shoe,75,99.0,Medium,41,Normal,No,Active,-0.8207472621309593,0.6956330559535702,-1.2109373004187562
103,10-11-2023 05:59,Ring,120,98.2,Medium,81,Irregular,Yes,Stressed,1.2015725536656325,-0.8558206512191532,0.7279583851448597
104,02-11-2023 04:15,Ring,66,98.2,High,88,Irregular,No,Stressed,-1.2252112252902776,-0.8558206512191532,1.0672651301184926
105,09-11-2023 05:11,Ring,79,98.5,High,48,Irregular,No,Sedentary,-0.6409855007268178,-0.2740255110293853,-0.8716305554451236
106,04-11-2023 23:23,Shoe,64,98.8,Medium,71,Normal,No,Active,-1.3150921059923484,0.3077696291603825,0.24323446375395566
107,29-11-2023 12:45,Shoe,106,99.2,High,97,Irregular,Yes,Stressed,0.5724063887511374,1.083496482746758,1.503516659370306
108,10-11-2023 23:43,Earring,98,98.9,Low,87,Normal,No,Stressed,0.21288286594285435,0.5017013425569901,1.018792737979402
109,05-11-2023 08:04,Shoe,113,98.2,Medium,84,Normal,Yes,Sedentary,0.886989471208385,-0.8558206512191532,0.8733755615621308
110,29-11-2023 21:14,Ring,110,97.8,High,49,Normal,Yes,Active,0.7521681501552788,-1.6315475048055286,-0.8231581633060331
111,05-11-2023 01:21,Earring,71,98.8,Medium,55,Irregular,No,Calm,-1.0005090235351008,0.3077696291603825,-0.5323238104714907
112,20-11-2023 05:31,Shoe,72,98.6,Medium,73,Normal,No,Calm,-0.9555685831840655,-0.08009379763280527,0.34017924803213645
113,08-11-2023 01:55,Shoe,176,98.7,Medium,44,Normal,Yes,Sedentary,3.7182372133236137,0.11383791576380238,-1.065520124001485
114,05-11-2023 03:09,Shoe,79,98.6,High,93,Irregular,No,Calm,-0.6409855007268178,-0.08009379763280527,1.3096270908139445
115,05-11-2023 16:58,Ring,78,99.2,Low,75,Irregular,Yes,Stressed,-0.6859259410778532,1.083496482746758,0.43712403231031727
116,19-11-2023 08:00,Earring,60,99.1,High,69,Irregular,Yes,Sedentary,-1.49485386739649,0.8895647693501503,0.14628967947577487
117,17-11-2023 17:47,Shoe,110,98.7,Low,84,Normal,Yes,Stressed,0.7521681501552788,0.11383791576380238,0.8733755615621308
118,29-11-2023 11:59,Ring,117,98.0,Low,48,Normal,Yes,Sedentary,1.0667512326125266,-1.2436840780123408,-0.8716305554451236
119,04-11-2023 23:13,Ring,117,99.3,Medium,92,Normal,Yes,Sedentary,1.0667512326125266,1.277428196143338,1.261154698674854
120,02-11-2023 08:50,Ring,131,99.3,Medium,67,Irregular,Yes,Sedentary,1.6959173975270219,1.277428196143338,0.04934489519759406
121,14-11-2023 02:34,Earring,87,98.7,High,45,Irregular,No,Sedentary,-0.2814619779185348,0.11383791576380238,-1.0170477318623947
122,15-11-2023 05:48,Shoe,86,98.8,Low,96,Irregular,No,Active,-0.32640241826957017,0.3077696291603825,1.4550442672312156
123,03-11-2023 04:45,Shoe,85,97.7,Low,49,Normal,No,Calm,-0.37134285862060556,-1.8254792182021087,-0.8231581633060331
124,19-11-2023 20:46,Earring,99,98.9,High,72,Irregular,No,Active,0.2578233062938897,0.5017013425569901,0.29170685589304607
125,22-11-2023 21:22,Earring,60,99.9,Low,59,Irregular,Yes,Active,-1.49485386739649,2.4410184765229013,-0.33843424191512916
126,06-11-2023 04:01,Ring,115,98.7,Low,90,Normal,Yes,Stressed,0.9768703519104558,0.11383791576380238,1.1642099143966733
127,22-11-2023 14:46,Ring,116,98.7,High,87,Normal,Yes,Active,1.0218107922614912,0.11383791576380238,1.018792737979402
128,04-11-2023 05:04,Earring,136,98.8,Medium,65,Irregular,Yes,Sedentary,1.9206195992821986,0.3077696291603825,-0.04759988908058674
129,14-11-2023 18:51,Earring,71,97.8,Low,47,Irregular,No,Sedentary,-1.0005090235351008,-1.6315475048055286,-0.920102947584214
130,25-11-2023 03:06,Shoe,91,98.9,High,42,Normal,No,Active,-0.10170021651439329,0.5017013425569901,-1.1624649082796659
131,10-11-2023 13:14,Shoe,111,98.5,High,68,Normal,Yes,Active,0.7971085905063142,-0.2740255110293853,0.09781728733668446
132,03-11-2023 10:04,Ring,115,99.2,Medium,43,Irregular,Yes,Stressed,0.9768703519104558,1.083496482746758,-1.1139925161405755
133,08-11-2023 17:53,Ring,77,98.8,Medium,90,Normal,No,Sedentary,-0.7308663814288886,0.3077696291603825,1.1642099143966733
134,08-11-2023 07:27,Shoe,82,98.5,Medium,83,Normal,No,Calm,-0.5061641796737116,-0.2740255110293853,0.8249031694230404
135,24-11-2023 02:19,Shoe,101,99.3,High,90,Irregular,Yes,Active,0.34770418699596045,1.277428196143338,1.1642099143966733
136,27-11-2023 21:16,Earring,64,99.3,Medium,89,Normal,Yes,Calm,-1.3150921059923484,1.277428196143338,1.115737522257583
137,23-11-2023 15:30,Shoe,67,98.7,High,63,Irregular,No,Calm,-1.1802707849392424,0.11383791576380238,-0.14454467335876753
138,14-11-2023 16:13,Earring,118,99.2,Medium,30,Irregular,Yes,Active,1.111691672963562,1.083496482746758,-1.7441336139487507
139,18-11-2023 17:29,Ring,76,98.8,Low,61,Normal,No,Stressed,-0.7758068217799239,0.3077696291603825,-0.24148945763694835
140,29-11-2023 18:02,Earring,75,97.4,Low,86,Irregular,No,Active,-0.8207472621309593,-2.4072743583918763,0.9703203458403117
141,09-11-2023 04:03,Ring,61,99.4,High,56,Normal,Yes,Calm,-1.4499134270454546,1.4713599095399457,-0.48385141833240036
142,07-11-2023 15:53,Earring,61,97.9,High,56,Irregular,No,Sedentary,-1.4499134270454546,-1.437615791408921,-0.48385141833240036
143,04-11-2023 18:35,Earring,94,98.5,High,75,Normal,No,Calm,0.03312110453871284,-0.2740255110293853,0.43712403231031727
144,26-11-2023 04:59,Ring,93,98.0,Low,100,Irregular,No,Sedentary,-0.01181933581232254,-1.2436840780123408,1.6489338357875774
145,22-11-2023 08:51,Shoe,80,98.7,Medium,54,Normal,No,Calm,-0.5960450603757824,0.11383791576380238,-0.5807962026105812
146,27-11-2023 11:21,Shoe,73,99.0,Low,46,Irregular,No,Sedentary,-0.9106281428330301,0.6956330559535702,-0.9685753397233043
147,07-11-2023 08:42,Ring,88,97.8,High,63,Irregular,No,Calm,-0.2365215375674994,-1.6315475048055286,-0.14454467335876753
148,05-11-2023 10:39,Shoe,123,98.2,Low,74,Irregular,Yes,Calm,1.3363938747187387,-0.8558206512191532,0.3886516401712269
149,03-11-2023 17:36,Shoe,96,97.6,Medium,63,Normal,No,Calm,0.1230019852407836,-2.0194109315987165,-0.14454467335876753
150,12-11-2023 11:49,Shoe,68,99.0,Low,36,Irregular,No,Stressed,-1.135330344588207,0.6956330559535702,-1.4532992611142084
151,21-11-2023 07:41,Ring,98,99.2,High,35,Irregular,Yes,Calm,0.21288286594285435,1.083496482746758,-1.5017716532532988
152,02-11-2023 22:34,Shoe,68,98.1,Medium,52,Irregular,No,Calm,-1.135330344588207,-1.0497523646157607,-0.6777409868887619
153,10-11-2023 08:29,Ring,107,98.2,High,38,Irregular,Yes,Calm,0.6173468291021728,-0.8558206512191532,-1.3563544768360276
154,05-11-2023 02:14,Shoe,105,97.8,Low,44,Normal,Yes,Stressed,0.527465948400102,-1.6315475048055286,-1.065520124001485
155,20-11-2023 22:26,Ring,64,98.1,Medium,31,Irregular,No,Sedentary,-1.3150921059923484,-1.0497523646157607,-1.6956612218096603
156,18-11-2023 07:54,Earring,60,98.4,Medium,33,Irregular,No,Sedentary,-1.49485386739649,-0.46795722442596543,-1.5987164375314795
157,12-11-2023 13:52,Earring,72,99.2,Medium,35,Irregular,Yes,Active,-0.9555685831840655,1.083496482746758,-1.5017716532532988
158,07-11-2023 00:08,Ring,96,98.7,High,55,Irregular,No,Calm,0.1230019852407836,0.11383791576380238,-0.5323238104714907
159,23-11-2023 14:06,Earring,83,98.5,Medium,81,Normal,No,Calm,-0.4612237393226763,-0.2740255110293853,0.7279583851448597
160,02-11-2023 10:35,Shoe,168,99.5,Low,71,Irregular,Yes,Active,3.3587136905153305,1.6652916229365258,0.24323446375395566
161,04-11-2023 01:36,Earring,119,98.5,Medium,72,Irregular,Yes,Active,1.1566321133145971,-0.2740255110293853,0.29170685589304607
162,29-11-2023 16:41,Ring,119,97.9,High,92,Normal,Yes,Active,1.1566321133145971,-1.437615791408921,1.261154698674854
163,24-11-2023 13:43,Ring,101,98.8,Medium,94,Irregular,Yes,Stressed,0.34770418699596045,0.3077696291603825,1.3580994829530348
164,07-11-2023 01:17,Shoe,67,98.9,Low,73,Normal,No,Stressed,-1.1802707849392424,0.5017013425569901,0.34017924803213645
165,25-11-2023 17:50,Ring,104,99.0,High,59,Normal,Yes,Stressed,0.4825255080490666,0.6956330559535702,-0.33843424191512916
166,07-11-2023 11:40,Shoe,112,98.8,Medium,36,Normal,Yes,Active,0.8420490308573496,0.3077696291603825,-1.4532992611142084
167,02-11-2023 00:29,Ring,102,98.6,High,85,Normal,Yes,Active,0.39264462734699584,-0.08009379763280527,0.9218479537012213
168,28-11-2023 06:59,Earring,88,98.2,High,47,Normal,No,Active,-0.2365215375674994,-0.8558206512191532,-0.920102947584214
169,03-11-2023 07:26,Earring,60,98.3,Low,78,Normal,No,Stressed,-1.49485386739649,-0.6618889378225731,0.5825412087275884
170,19-11-2023 00:45,Ring,87,98.2,High,93,Normal,No,Stressed,-0.2814619779185348,-0.8558206512191532,1.3096270908139445
171,28-11-2023 11:41,Shoe,77,98.3,Low,49,Irregular,No,Sedentary,-0.7308663814288886,-0.6618889378225731,-0.8231581633060331
172,11-11-2023 09:41,Shoe,86,99.5,Low,63,Normal,Yes,Sedentary,-0.32640241826957017,1.6652916229365258,-0.14454467335876753
173,05-11-2023 21:51,Earring,94,99.7,High,41,Irregular,Yes,Sedentary,0.03312110453871284,2.0531550497297135,-1.2109373004187562
174,01-11-2023 16:52,Ring,65,99.1,Medium,64,Normal,Yes,Active,-1.270151665641313,0.8895647693501503,-0.09607228121967713
175,09-11-2023 11:09,Shoe,117,98.7,Low,89,Irregular,Yes,Calm,1.0667512326125266,0.11383791576380238,1.115737522257583
176,17-11-2023 07:46,Ring,75,97.7,High,41,Normal,No,Sedentary,-0.8207472621309593,-1.8254792182021087,-1.2109373004187562
177,25-11-2023 11:12,Earring,108,99.3,Medium,31,Irregular,Yes,Calm,0.6622872694532081,1.277428196143338,-1.6956612218096603
178,29-11-2023 03:53,Ring,63,97.9,High,55,Irregular,No,Sedentary,-1.3600325463433838,-1.437615791408921,-0.5323238104714907
179,14-11-2023 16:49,Earring,110,97.7,Low,38,Normal,Yes,Active,0.7521681501552788,-1.8254792182021087,-1.3563544768360276
180,02-11-2023 02:12,Ring,118,98.4,High,72,Irregular,Yes,Active,1.111691672963562,-0.46795722442596543,0.29170685589304607
181,29-11-2023 21:52,Shoe,67,97.9,High,59,Irregular,No,Sedentary,-1.1802707849392424,-1.437615791408921,-0.33843424191512916
182,21-11-2023 11:22,Ring,84,98.8,Low,59,Irregular,No,Sedentary,-0.4162832989716409,0.3077696291603825,-0.33843424191512916
183,25-11-2023 04:17,Ring,91,98.1,High,33,Normal,No,Stressed,-0.10170021651439329,-1.0497523646157607,-1.5987164375314795
184,26-11-2023 23:10,Shoe,151,97.6,High,56,Irregular,Yes,Sedentary,2.5947262045477295,-2.0194109315987165,-0.48385141833240036
185,18-11-2023 15:51,Earring,67,99.2,Medium,49,Irregular,Yes,Calm,-1.1802707849392424,1.083496482746758,-0.8231581633060331
186,14-11-2023 17:36,Ring,84,98.2,Low,78,Irregular,No,Active,-0.4162832989716409,-0.8558206512191532,0.5825412087275884
187,07-11-2023 06:22,Ring,91,98.1,High,59,Normal,No,Sedentary,-0.10170021651439329,-1.0497523646157607,-0.33843424191512916
188,25-11-2023 10:05,Ring,79,98.7,Medium,71,Irregular,No,Stressed,-0.6409855007268178,0.11383791576380238,0.24323446375395566
189,24-11-2023 22:23,Earring,72,97.8,Low,61,Normal,No,Stressed,-0.9555685831840655,-1.6315475048055286,-0.24148945763694835
190,21-11-2023 04:14,Ring,69,98.6,Medium,87,Normal,No,Stressed,-1.0903899042371716,-0.08009379763280527,1.018792737979402
191,21-11-2023 02:45,Shoe,96,98.6,High,94,Irregular,No,Calm,0.1230019852407836,-0.08009379763280527,1.3580994829530348
192,14-11-2023 15:40,Earring,95,100.0,Low,40,Irregular,Yes,Sedentary,0.07806154488974822,2.6349501899194814,-1.2594096925578468
193,27-11-2023 18:08,Shoe,99,99.0,Medium,64,Normal,No,Sedentary,0.2578233062938897,0.6956330559535702,-0.09607228121967713
194,18-11-2023 12:54,Shoe,116,98.6,High,66,Normal,Yes,Active,1.0218107922614912,-0.08009379763280527,0.0008725030585036603
195,15-11-2023 03:04,Earring,108,99.1,High,46,Normal,Yes,Calm,0.6622872694532081,0.8895647693501503,-0.9685753397233043
196,01-11-2023 18:56,Shoe,106,98.0,High,75,Normal,Yes,Active,0.5724063887511374,-1.2436840780123408,0.43712403231031727
197,14-11-2023 03:20,Earring,78,98.8,High,49,Irregular,No,Sedentary,-0.6859259410778532,0.3077696291603825,-0.8231581633060331
198,09-11-2023 10:38,Ring,103,98.7,High,93,Normal,Yes,Stressed,0.43758506769803124,0.11383791576380238,1.3096270908139445
199,26-11-2023 20:10,Earring,73,98.7,High,75,Irregular,No,Active,-0.9106281428330301,0.11383791576380238,0.43712403231031727
200,02-11-2023 22:09,Ring,70,98.0,Medium,38,Normal,No,Active,-1.0454494638861362,-1.2436840780123408,-1.3563544768360276
201,02-11-2023 07:17,Earring,61,98.8,High,33,Normal,No,Stressed,-1.4499134270454546,0.3077696291603825,-1.5987164375314795
